latex,編碼,符號,點字,來源,count
,2014,—,⠤⠤⠤⠤,self,1
,2015,―,⠱,self,1
\|,2016,‖,⠳⠳,self,1
,2018,‘,⠠⠦,self,1
,2019,’,⠴⠄,self,1
,201C,“,⠦,self,3
,201D,”,⠴,self,2
\dagger,2020,†,⠸⠻,self,1
\ddagger,2021,‡,⠸⠸⠻,self,1
,2022,•,⠔⠔,umbs,1
\cdots,2026,…,⠂⠂⠂,self,1
,2030,‰,⠈⠴⠴,umbs,1
,2031,‱,⠈⠴⠴⠴,umbs,1
,2032,′,⠄,umbs,2
,2033,″,⠄⠄,umbs,1
,2044,⁄,⠌,ctb,2
,2052,⁒,⠤,ctb,4
,210F,ℏ,⠈⠓,ctb,1
\Im,2111,ℑ,⠊⠍,self,1
,2113,ℓ,⠈⠇,umbs,2
\Re,211C,ℜ,⠗⠑,self,1
,212B,Å,⠈⠠⠁,umbs,1
,2160,Ⅰ,⠠⠊,self,2
,2161,Ⅱ,⠠⠠⠊⠊,self,1
,2162,Ⅲ,⠠⠠⠊⠊⠊,self,1
,2163,Ⅳ,⠠⠠⠊⠧,self,1
,2164,Ⅴ,⠠⠧,self,2
,2165,Ⅵ,⠠⠠⠧⠊,self,1
,2166,Ⅶ,⠠⠠⠧⠊⠊,self,1
,2167,Ⅷ,⠠⠠⠧⠊⠊⠊,self,1
,2168,Ⅸ,⠠⠠⠊⠭,self,1
,2169,Ⅹ,⠠⠭,self,2
\leftarrow,2190,←,⠫⠪⠒⠒,self,1
\uparrow,2191,↑,⠫⠣⠒⠒⠕,self,1
\rightarrow,2192,→,⠫⠒⠒⠕,self,1
\downarrow,2193,↓,⠫⠩⠒⠒⠕,self,1
,2194,↔,⠫⠪⠒⠒⠕,umbs,2
,2195,↕,⠫⠣⠪⠒⠒⠕,umbs,2
,2196,↖,⠫⠘⠪⠒⠒,umbs,1
,2197,↗,⠫⠘⠒⠒⠕,umbs,1
,2198,↘,⠫⠰⠒⠒⠕,umbs,1
,2199,↙,⠫⠰⠪⠒⠒,umbs,1
,219A,↚,⠳⠈⠫⠪⠒⠒⠻,umbs,2
,219B,↛,⠳⠈⠫⠒⠒⠕⠻,umbs,2
,219C,↜,⠫⠪⠔⠒⠢,umbs,1
,219D,↝,⠫⠔⠒⠢⠕,umbs,1
,219E,↞,⠫⠪⠪⠒⠒,umbs,1
,219F,↟,⠫⠣⠒⠒⠕⠕,umbs,1
,21A0,↠,⠫⠒⠒⠕⠕,umbs,1
,21A1,↡,⠫⠩⠒⠒⠕⠕,umbs,1
,21A2,↢,⠫⠪⠒⠒⠠⠽,umbs,1
,21A3,↣,⠫⠠⠯⠒⠒⠕,umbs,1
,21A4,↤,⠫⠪⠒⠒⠳,umbs,1
,21A5,↥,⠫⠣⠳⠒⠒⠕,umbs,1
,21A6,↦,⠫⠳⠒⠒⠕,umbs,1
,21A7,↧,⠫⠩⠳⠒⠒⠕,umbs,1
,21A8,↨,⠫⠣⠪⠒⠒⠕⠳,umbs,1
,21A9,↩,⠫⠪⠒⠒⠈⠽,umbs,1
,21AA,↪,⠫⠈⠯⠒⠒⠕,umbs,1
,21AD,↭,⠫⠪⠔⠒⠢⠕,umbs,1
,21AE,↮,⠳⠈⠫⠪⠒⠒⠕⠻,umbs,2
,21AF,↯,⠫⠩⠔⠢⠔⠕,umbs,1
,21B4,↴,⠫⠩⠠⠳⠒⠕,umbs,1
,21B5,↵,⠫⠪⠒⠈⠳,umbs,1
,21BA,↺,⠫⠢⠔⠕,umbs,1
,21BB,↻,⠫⠪⠢⠔,umbs,1
,21BC,↼,⠫⠈⠪⠒⠒,umbs,1
,21BD,↽,⠫⠠⠪⠒⠒,umbs,1
,21BE,↾,⠫⠣⠒⠒⠠⠕,umbs,1
,21BF,↿,⠫⠣⠒⠒⠈⠕,umbs,1
,21C0,⇀,⠫⠒⠒⠈⠕,umbs,1
,21C1,⇁,⠫⠒⠒⠠⠕,umbs,1
,21C2,⇂,⠫⠩⠒⠒⠈⠕,umbs,1
,21C3,⇃,⠫⠩⠒⠒⠠⠕,umbs,1
\rightleftarrows,21C4,⇄,⠫⠒⠒⠕⠫⠪⠒⠒,self,1
,21C5,⇅,⠫⠣⠒⠒⠕⠐⠫⠩⠒⠒⠕,self,1
,21C6,⇆,⠫⠪⠒⠒⠫⠒⠒⠕,umbs,1
,21C7,⇇,⠫⠪⠒⠒⠫⠪⠒⠒,umbs,1
,21C8,⇈,⠫⠣⠒⠒⠕⠐⠫⠣⠒⠒⠕,umbs,1
,21C9,⇉,⠫⠒⠒⠕⠫⠒⠒⠕,umbs,1
,21CA,⇊,⠫⠩⠒⠒⠕⠐⠫⠩⠒⠒⠕,umbs,1
,21CB,⇋,⠫⠈⠪⠒⠒⠫⠒⠒⠠⠕,umbs,1
\rightleftharpoons,21CC,⇌,⠫⠒⠒⠈⠕⠫⠠⠪⠒⠒,self,1
,21CD,⇍,⠳⠈⠫⠪⠶⠶⠻,umbs,1
,21CE,⇎,⠳⠈⠫⠪⠶⠶⠕⠻,umbs,1
,21CF,⇏,⠳⠈⠫⠶⠶⠕⠻,umbs,1
,21D0,⇐,⠫⠪⠶⠶,umbs,1
,21D1,⇑,⠫⠣⠶⠶⠕,umbs,1
,21D2,⇒,⠫⠶⠶⠕,umbs,1
,21D3,⇓,⠫⠩⠶⠶⠕,umbs,1
,21D4,⇔,⠫⠪⠶⠶⠕,umbs,1
,21D5,⇕,⠫⠣⠪⠶⠶⠕,umbs,1
,21D6,⇖,⠫⠘⠪⠶⠶,umbs,1
,21D7,⇗,⠫⠘⠶⠶⠕,umbs,1
,21D8,⇘,⠫⠰⠶⠶⠕,umbs,1
,21D9,⇙,⠫⠰⠪⠶⠶,umbs,1
,21DA,⇚,⠫⠪⠸⠸,umbs,1
,21DB,⇛,⠫⠸⠸⠕,umbs,1
,21DC,⇜,⠫⠪⠢⠤⠔⠒⠢,umbs,1
,21DD,⇝,⠫⠢⠤⠔⠒⠢⠕,umbs,1
,21DE,⇞,⠳⠳⠈⠫⠣⠒⠒⠕⠻,umbs,1
,21DF,⇟,⠳⠳⠈⠫⠩⠒⠒⠕⠻,umbs,1
,21E0,⇠,⠫⠪⠒⠀⠒,umbs,1
,21E1,⇡,⠫⠣⠒⠀⠒⠕,umbs,1
,21E2,⇢,⠫⠒⠀⠒⠕,umbs,1
,21E3,⇣,⠫⠩⠒⠀⠒⠕,umbs,1
,21E4,⇤,⠳⠫⠪⠒⠒,umbs,1
,21E5,⇥,⠫⠒⠒⠕⠳,umbs,1
,21F4,⇴,⠨⠡⠈⠫⠒⠒⠕⠻,umbs,1
,21F5,⇵,⠫⠩⠒⠒⠕⠐⠫⠣⠒⠒⠕,self,1
,21F6,⇶,⠫⠒⠒⠕⠫⠒⠒⠕⠫⠒⠒⠕,umbs,1
,21F7,⇷,⠳⠈⠫⠪⠒⠒⠻,umbs,2
,21F8,⇸,⠳⠈⠫⠒⠒⠕⠻,umbs,2
,21F9,⇹,⠳⠈⠫⠪⠒⠒⠕⠻,umbs,2
,21FA,⇺,⠳⠳⠈⠫⠪⠒⠒⠻,umbs,1
,21FB,⇻,⠳⠳⠈⠫⠒⠒⠕⠻,umbs,1
,21FC,⇼,⠳⠳⠈⠫⠪⠒⠒⠕⠻,umbs,1
\forall,2200,∀,⠈⠯,self,1
\partial,2202,∂,⠈⠙,self,1
\exists,2203,∃,⠈⠢,self,2
\nexists,2204,∄,⠌⠈⠢,self,2
\emptyset,2205,∅,⠸⠴,self,1
\nabla,2207,∇,⠨⠫,self,2
\in,2208,∈,⠈⠑,self,1
,2209,∉,⠌⠈⠑,self,1
,220B,∋,⠈⠢,ctb,2
,220C,∌,⠌⠈⠢,ctb,2
,220E,∎,⠸⠳,ctb,1
,220F,∏,⠨⠠⠏,ctb,2
,2211,∑,⠨⠠⠎,ctb,2
,2212,−,⠤,umbs,4
\mp,2213,∓,⠤⠬,self,1
,2214,∔,⠐⠬⠣⠡⠻,ctb,1
,2215,∕,⠸⠌,ctb,1
,2217,∗,⠈⠼,ctb,1
,2218,∘,⠨⠡,umbs,1
,2219,∙,⠡,ctb,4
,221A,√,⠜⠻,ctb,1
,221B,∛,⠣⠒⠜⠻,ctb,1
,221C,∜,⠣⠲⠜⠻,ctb,1
\propto,221D,∝,⠸⠿,self,1
\infty,221E,∞,⠠⠿,self,1
,221F,∟,⠫⠪⠨⠗⠻,umbs,1
