latex,編碼,符號,點字,來源,count
,2922,⤢,⠫⠰⠪⠒⠒⠕,umbs,1
,2945,⥅,⠐⠫⠒⠒⠕⠩⠬⠻,ctb,1
,2946,⥆,⠐⠫⠪⠒⠒⠩⠬⠻,ctb,1
,2948,⥈,⠫⠪⠒⠒⠕⠈⠨⠡⠻,ctb,1
,2971,⥱,⠐⠫⠒⠒⠕⠣⠨⠅⠻,ctb,1
,2972,⥲,⠐⠫⠒⠒⠕⠣⠈⠱⠻,ctb,1
,2973,⥳,⠐⠫⠪⠒⠒⠩⠈⠱⠻,ctb,1
,2974,⥴,⠐⠫⠒⠒⠕⠩⠈⠱⠻,ctb,1
,2975,⥵,⠐⠫⠒⠒⠕⠩⠈⠱⠈⠱⠻,ctb,1
,2976,⥶,⠐⠫⠪⠒⠒⠣⠐⠅⠻,ctb,1
,2977,⥷,⠫⠪⠒⠒⠈⠐⠅⠻,ctb,1
,2978,⥸,⠐⠫⠒⠒⠕⠣⠨⠂⠻,ctb,1
,2979,⥹,⠐⠫⠒⠒⠕⠣⠸⠐⠅⠻,ctb,1
,297A,⥺,⠫⠪⠒⠒⠈⠸⠐⠅⠻,ctb,1
,297B,⥻,⠐⠫⠪⠒⠒⠣⠸⠨⠂⠻,ctb,1
,2983,⦃,⠨⠸⠷,ctb,1
,2984,⦄,⠨⠸⠾,ctb,1
,2991,⦑,⠡⠈⠨⠨⠷⠻,umbs,1
,2992,⦒,⠡⠈⠨⠨⠾⠻,umbs,1
,299F,⦟,⠫⠪⠨⠁⠻,ctb,1
,29A4,⦤,⠫⠪⠱,ctb,1
,29A6,⦦,⠫⠪⠨⠕⠻,ctb,1
,29C4,⧄,⠫⠲⠸⠫⠔⠻,self,1
,29C5,⧅,⠫⠲⠸⠫⠢⠻,self,1
,29C6,⧆,⠫⠲⠸⠫⠈⠼⠻,umbs,1
,29CA,⧊,⠐⠫⠞⠣⠡⠻,umbs,1
,29CB,⧋,⠫⠞⠱,umbs,1
,29CC,⧌,⠫⠞⠎,umbs,1
,29E6,⧦,⠫⠳⠶⠶⠳,umbs,1
,2A00,⨀,⠫⠉⠸⠫⠡⠻,ctb,2
,2A01,⨁,⠫⠉⠸⠫⠬⠻,ctb,2
,2A02,⨂,⠫⠉⠸⠫⠈⠡⠻,ctb,2
,2A03,⨃,⠨⠬⠈⠫⠡⠻,ctb,1
,2A04,⨄,⠨⠬⠈⠫⠬⠻,ctb,1
,2A07,⨇,⠈⠩⠈⠈⠩⠻,ctb,2
,2A08,⨈,⠈⠬⠈⠈⠬⠻,ctb,2
\times,2A09,⨉,⠈⠡,self,2
,2A0A,⨊,⠨⠠⠎⠈⠫⠉⠻,ctb,1
,2A0B,⨋,⠮⠈⠨⠠⠎⠻,ctb,1
,2A0C,⨌,⠮⠮⠮⠮,ctb,1
,2A0D,⨍,⠮⠈⠱⠻,ctb,1
,2A0E,⨎,⠮⠈⠱⠱⠻,ctb,1
,2A0F,⨏,⠮⠈⠸⠌⠻,ctb,1
,2A10,⨐,⠮⠈⠠⠉⠻,ctb,1
,2A15,⨕,⠮⠈⠫⠉⠸⠫⠡⠻⠻,ctb,1
,2A16,⨖,⠮⠈⠫⠲⠻,ctb,1
,2A18,⨘,⠮⠈⠈⠡⠻,ctb,1
,2A19,⨙,⠮⠈⠨⠩⠻,ctb,1
,2A1A,⨚,⠮⠈⠨⠬⠻,ctb,1
,2A1B,⨛,⠣⠮,ctb,1
,2A1C,⨜,⠩⠮,ctb,1
,2A22,⨢,⠐⠬⠣⠨⠡⠻,umbs,1
,2A23,⨣,⠐⠬⠣⠸⠣⠻,umbs,1
,2A24,⨤,⠐⠬⠣⠈⠱⠻,umbs,1
,2A25,⨥,⠐⠬⠩⠡⠻,umbs,1
,2A2A,⨪,⠐⠱⠩⠡⠻,ctb,1
,2A30,⨰,⠐⠈⠡⠣⠡⠻,ctb,1
,2A31,⨱,⠐⠈⠡⠩⠱⠻,ctb,1
,2A36,⨶,⠐⠫⠉⠸⠫⠈⠡⠻⠣⠸⠣⠻,ctb,1
,2A37,⨷,⠫⠉⠸⠫⠫⠉⠸⠫⠈⠡⠻⠻,ctb,1
,2A38,⨸,⠫⠉⠸⠫⠨⠌⠻,ctb,1
,2A39,⨹,⠫⠞⠸⠫⠬⠻,ctb,1
,2A3A,⨺,⠫⠞⠸⠫⠤⠻,ctb,1
,2A3B,⨻,⠫⠞⠸⠫⠈⠡⠻,ctb,1
,2A40,⩀,⠨⠩⠈⠡⠻,ctb,1
,2A41,⩁,⠨⠬⠈⠤⠻,ctb,1
,2A42,⩂,⠐⠨⠬⠣⠱⠻,ctb,1
,2A43,⩃,⠐⠨⠩⠣⠱⠻,ctb,1
,2A44,⩄,⠨⠩⠈⠈⠩⠻,ctb,1
,2A45,⩅,⠨⠬⠈⠈⠬⠻,ctb,1
,2A46,⩆,⠨⠬⠨⠩,ctb,1
,2A47,⩇,⠨⠩⠨⠬,ctb,1
,2A48,⩈,⠨⠬⠱⠨⠩,ctb,1
,2A49,⩉,⠨⠩⠱⠨⠬,ctb,1
,2A4A,⩊,⠨⠬⠐⠨⠬,ctb,1
,2A4B,⩋,⠨⠩⠐⠨⠩,ctb,1
,2A51,⩑,⠐⠈⠩⠣⠡⠻,ctb,1
,2A52,⩒,⠐⠈⠬⠣⠡⠻,ctb,1
,2A53,⩓,⠈⠩⠈⠩,ctb,1
,2A54,⩔,⠈⠬⠈⠬,ctb,1
,2A55,⩕,⠈⠩⠈⠈⠩⠻,ctb,2
,2A56,⩖,⠈⠬⠈⠈⠬⠻,ctb,2
,2A59,⩙,⠈⠬⠈⠈⠩⠻,ctb,1
,2A5A,⩚,⠈⠩⠈⠳⠻,ctb,1
,2A5B,⩛,⠈⠬⠈⠳⠻,ctb,1
,2A5C,⩜,⠈⠩⠈⠱⠻,ctb,1
,2A5D,⩝,⠈⠬⠈⠱⠻,ctb,1
,2A5E,⩞,⠐⠈⠩⠣⠱⠱⠻,ctb,1
,2A5F,⩟,⠐⠈⠩⠩⠱⠻,ctb,1
,2A60,⩠,⠐⠈⠩⠩⠱⠱⠻,ctb,1
,2A62,⩢,⠐⠈⠬⠣⠱⠱⠻,ctb,1
,2A63,⩣,⠐⠈⠬⠩⠱⠱⠻,ctb,1
,2A66,⩦,⠐⠨⠅⠩⠡⠻,ctb,1
,2A67,⩧,⠐⠸⠇⠣⠡⠻,ctb,1
,2A68,⩨,⠳⠳⠈⠸⠇⠻,ctb,1
,2A69,⩩,⠳⠳⠳⠈⠸⠇⠻,ctb,1
,2A6A,⩪,⠐⠈⠱⠣⠡⠻,ctb,1
,2A6B,⩫,⠐⠈⠱⠩⠡⠣⠡⠻,ctb,2
,2A6C,⩬,⠈⠱⠱⠈⠱,ctb,1
,2A6D,⩭,⠐⠈⠱⠨⠅⠣⠡⠻,ctb,1
,2A6E,⩮,⠐⠨⠅⠣⠈⠼⠻,ctb,2
,2A6F,⩯,⠐⠈⠱⠈⠱⠣⠸⠣⠻,ctb,1
,2A70,⩰,⠈⠱⠈⠱⠨⠅,self,1
,2A71,⩱,⠐⠨⠅⠩⠬⠻,ctb,1
,2A72,⩲,⠐⠨⠅⠣⠬⠻,ctb,1
,2A73,⩳,⠨⠅⠈⠱,ctb,1
,2A74,⩴,⠐⠂⠐⠂⠨⠅,umbs,1
,2A75,⩵,⠨⠅⠐⠨⠅,ctb,1
,2A76,⩶,⠨⠅⠐⠨⠅⠐⠨⠅,ctb,1
,2A77,⩷,⠐⠨⠅⠩⠡⠡⠣⠡⠡⠻,ctb,1
,2A78,⩸,⠐⠸⠇⠣⠡⠡⠡⠡⠻,ctb,1
,2A79,⩹,⠐⠅⠈⠨⠡⠻,ctb,1
,2A7A,⩺,⠨⠂⠈⠨⠡⠻,ctb,1
,2A7B,⩻,⠐⠐⠅⠣⠸⠦⠻,ctb,1
,2A7C,⩼,⠐⠨⠂⠣⠸⠦⠻,ctb,1
,2A7D,⩽,⠐⠅⠱⠱,ctb,1
,2A7E,⩾,⠨⠂⠱⠱,ctb,1
,2A7F,⩿,⠐⠅⠱⠱⠈⠡⠻,ctb,1
,2A80,⪀,⠨⠂⠱⠱⠈⠡⠻,ctb,1
,2A81,⪁,⠐⠐⠅⠱⠱⠣⠡⠻,ctb,1
,2A82,⪂,⠐⠨⠂⠱⠱⠣⠡⠻,ctb,1
,2A83,⪃,⠐⠅⠱⠱⠘⠡,ctb,1
,2A84,⪄,⠨⠂⠱⠱⠘⠡,ctb,1
,2A85,⪅,⠐⠅⠈⠱⠈⠱,ctb,1
,2A86,⪆,⠨⠂⠈⠱⠈⠱,ctb,1
,2A8B,⪋,⠐⠅⠨⠅⠨⠂,umbs,1
,2A8C,⪌,⠨⠂⠨⠅⠐⠅,umbs,1
,2A8D,⪍,⠐⠅⠈⠱⠱,ctb,1
,2A8E,⪎,⠨⠂⠈⠱⠱,ctb,1
,2A8F,⪏,⠐⠅⠈⠱⠨⠂,ctb,1
,2A90,⪐,⠨⠂⠈⠱⠐⠅,ctb,1
,2A91,⪑,⠐⠅⠨⠂⠨⠅,ctb,1
,2A92,⪒,⠨⠂⠐⠅⠨⠅,ctb,1
,2A99,⪙,⠨⠅⠐⠅,umbs,1
,2A9A,⪚,⠨⠅⠨⠂,umbs,1
,2A9D,⪝,⠈⠱⠐⠅,ctb,1
,2A9E,⪞,⠈⠱⠨⠂,ctb,1
,2A9F,⪟,⠈⠱⠐⠅⠨⠅,umbs,1
,2AA0,⪠,⠈⠱⠨⠂⠨⠅,umbs,1
,2AA4,⪤,⠨⠂⠈⠐⠅⠻,ctb,1
,2AA5,⪥,⠨⠂⠐⠐⠅,ctb,2
,2AAE,⪮,⠈⠣⠨⠅,umbs,1
,2AAF,⪯,⠨⠐⠅⠱,umbs,1
,2AB0,⪰,⠨⠨⠂⠱,umbs,1
,2AB1,⪱,⠨⠐⠅⠌⠱,umbs,1
,2AB2,⪲,⠨⠨⠂⠌⠱,umbs,1
,2AB3,⪳,⠨⠐⠅⠨⠅,umbs,1
,2AB4,⪴,⠨⠨⠂⠨⠅,umbs,1
,2AB5,⪵,⠨⠐⠅⠌⠨⠅,umbs,1
,2AB6,⪶,⠨⠨⠂⠌⠨⠅,umbs,1
,2AB7,⪷,⠨⠐⠅⠈⠱⠈⠱,umbs,1
,2AB8,⪸,⠨⠨⠂⠈⠱⠈⠱,umbs,1
,2AB9,⪹,⠨⠐⠅⠌⠈⠱⠈⠱,umbs,1
,2ABA,⪺,⠨⠨⠂⠌⠈⠱⠈⠱,umbs,1
,2ABB,⪻,⠨⠐⠅⠈⠨⠐⠅⠻,umbs,1
,2ABC,⪼,⠨⠨⠂⠈⠨⠨⠂⠻,umbs,1
,2ABD,⪽,⠸⠐⠅⠸⠫⠡⠻,ctb,1
,2ABE,⪾,⠸⠨⠂⠸⠫⠡⠻,ctb,1
,2ABF,⪿,⠐⠸⠐⠅⠩⠬⠻,ctb,1
,2AC0,⫀,⠐⠸⠨⠂⠩⠬⠻,ctb,1
,2AC1,⫁,⠐⠸⠐⠅⠩⠈⠡⠻,ctb,1
,2AC2,⫂,⠐⠸⠨⠂⠩⠈⠡⠻,ctb,1
,2AC3,⫃,⠐⠸⠐⠅⠱⠣⠡⠻,ctb,1
,2AC4,⫄,⠐⠸⠨⠂⠱⠣⠡⠻,ctb,1
,2AC5,⫅,⠸⠐⠅⠨⠅,ctb,1
,2AC6,⫆,⠸⠨⠂⠨⠅,ctb,1
,2AC7,⫇,⠸⠐⠅⠈⠱,ctb,1
,2AC8,⫈,⠸⠨⠂⠈⠱,ctb,1
,2AC9,⫉,⠸⠐⠅⠈⠱⠈⠱,ctb,1
,2ACA,⫊,⠸⠨⠂⠈⠱⠈⠱,ctb,1
,2ACB,⫋,⠸⠐⠅⠌⠨⠅,ctb,2
,2ACC,⫌,⠸⠨⠂⠌⠨⠅,ctb,2
,2ACF,⫏,⠸⠐⠅⠳,ctb,1
,2AD0,⫐,⠳⠸⠨⠂,ctb,1
,2AD3,⫓,⠸⠐⠅⠸⠨⠂,ctb,1
,2AD4,⫔,⠸⠨⠂⠸⠐⠅,ctb,1
,2AD5,⫕,⠸⠐⠅⠸⠐⠅,ctb,1
,2AD6,⫖,⠸⠨⠂⠸⠨⠂,ctb,1
,2AD7,⫗,⠸⠨⠂⠐⠸⠐⠅,ctb,1
,2ADC,⫝̸,⠌⠫⠩⠒⠒⠳⠽,ctb,1
,2ADD,⫝,⠫⠩⠒⠒⠳⠽,ctb,1
,2ADE,⫞,⠫⠒⠳,ctb,1
,2AE3,⫣,⠫⠒⠳⠳,ctb,1
,2AE4,⫤,⠫⠶⠳,ctb,1
,2AE5,⫥,⠫⠶⠳⠳,ctb,1
,2AE6,⫦,⠫⠳⠒⠐⠫⠳⠒,ctb,1
,2AE7,⫧,⠐⠨⠅⠩⠳⠻,ctb,1
,2AE8,⫨,⠐⠨⠅⠣⠳⠻,ctb,1
,2AE9,⫩,⠐⠨⠅⠩⠳⠣⠳⠻,ctb,1
,2AEA,⫪,⠫⠣⠶⠶⠳,ctb,1
,2AEF,⫯,⠐⠳⠣⠨⠡⠻,ctb,1
,2AF0,⫰,⠐⠳⠩⠨⠡⠻,ctb,1
,2AF1,⫱,⠐⠨⠡⠣⠫⠣⠒⠒⠳⠻,ctb,1
,2AF2,⫲,⠱⠈⠫⠇⠻,ctb,1
,2AF3,⫳,⠈⠱⠈⠫⠇⠻,ctb,1
,2AF4,⫴,⠳⠳⠳,ctb,2
,2AF5,⫵,⠱⠈⠳⠳⠳⠻,ctb,1
,2AFC,⫼,⠳⠳⠳,ctb,2
,2B1F,⬟,⠫⠸⠢,umbs,1
,2B20,⬠,⠫⠢,umbs,1
,2B21,⬡,⠫⠖,umbs,1
,2B22,⬢,⠫⠸⠖,umbs,1
,2B2C,⬬,⠫⠸⠑,umbs,1
,2B2D,⬭,⠫⠑,umbs,1
,2B30,⬰,⠨⠡⠈⠫⠪⠒⠒⠻,umbs,1
,2B31,⬱,⠫⠪⠒⠒⠫⠪⠒⠒⠫⠪⠒⠒,umbs,1
,2B32,⬲,⠫⠪⠒⠒⠈⠫⠉⠸⠫⠬⠻,umbs,1
,2B3E,⬾,⠫⠪⠒⠒⠈⠈⠡⠻,ctb,1
,2B40,⭀,⠐⠫⠪⠒⠒⠣⠨⠅⠻,ctb,1
,2B43,⭃,⠫⠒⠒⠕⠈⠨⠂⠻,ctb,1
,2B44,⭄,⠫⠒⠒⠕⠈⠸⠨⠂⠻,ctb,1
,2B49,⭉,⠐⠫⠪⠒⠒⠣⠈⠱⠻,ctb,1
,2B4A,⭊,⠐⠫⠪⠒⠒⠩⠈⠱⠈⠱⠻,ctb,1
\updownarrow,2B65,⭥,⠫⠣⠪⠒⠒⠕,self,2
,2BC3,⯃,⠫⠸⠦,umbs,1
,2E2C,⸬,⠰⠆,self,2
,3010,【,⠸⠈⠷,self,1
,3011,】,⠸⠈⠾,self,1
,7121,無,⠸,self,2
,FE62,﹢,⠬,ctb,3
,FE64,﹤,⠣,ctb,1
,FE65,﹥,⠜,ctb,1
,FE66,﹦,⠿,ctb,1
,FF05,％,⠈⠴,self,2
,FF0B,＋,⠬,self,3
,FF0D,－,⠤,self,4
,FF0E,．,⠡,self,4
,FF1C,＜,⠐⠅,self,2
,FF1D,＝,⠨⠅,self,3
,FF1E,＞,⠴⠨⠂,self,2
