latex,code,symbol,nemeth,source,priority,ingore-braille-space
,023AD,⎭,⠨⠠⠾,ctb,1,True
\blacksquare,025A0,■,⠫⠸⠲,self,1,True
\square,025A1,□,⠫⠲,self,1,True
,025AC,▬,⠫⠸⠗,umbs,1,True
,025AD,▭,⠫⠗,umbs,1,True
,025B2,▲,⠫⠸⠞,umbs,1,True
\triangle,025B3,△,⠫⠞⠀,self,1,True
,025BC,▼,⠸⠨⠫,umbs,1,True
\triangledown,025BD,▽,⠨⠫,self,2,True
\diamond,025C7,◇,⠫⠙,self,1,True
\Circle,025CB,○,⠫⠉,umbs,1,True
\CIRCLE,025CF,●,⠫⠸⠉,umbs,1,True
\boxbar,025EB,◫,⠫⠲⠸⠫⠳⠻,umbs,1,True
,02606,☆,⠫⠎,self,1,True
\perp,027C2,⟂,⠫⠏,self,2,True
,027C3,⟃,⠨⠡⠈⠸⠐⠅⠻,umbs,1,True
,027C4,⟄,⠨⠡⠈⠸⠨⠂⠻,umbs,1,True
,027C7,⟇,⠈⠬⠈⠡⠻,ctb,1,True
\multimapinv,027DC,⟜,⠫⠨⠡⠒⠒,umbs,1,True
,027DD,⟝,⠫⠳⠒⠒,umbs,2,True
,027DE,⟞,⠫⠒⠒⠳,umbs,2,True
,027DF,⟟,⠫⠣⠳⠒⠒⠨⠡,umbs,1,True
\llbracket,027E6,⟦,⠈⠸⠷,ctb,1,True
\rrbracket,027E7,⟧,⠈⠸⠾,ctb,1,True
\langle,027E8,⟨,⠨⠨⠷,ctb,1,True
\rangle,027E9,⟩,⠨⠨⠾,ctb,1,True
\lang,027EA,⟪,⠨⠨⠷⠨⠨⠷,ctb,1,True
\rang,027EB,⟫,⠨⠨⠾⠨⠨⠾,ctb,1,True
,027EC,⟬,⠈⠈⠸⠷,ctb,1,True
,027ED,⟭,⠈⠈⠸⠾,ctb,1,True
\longleftarrow,027F5,⟵,⠫⠪⠒⠒⠒,umbs,1,True
\longrightarrow,027F6,⟶,⠫⠒⠒⠒⠕,umbs,1,True
\leftrightarrow,027F7,⟷,⠫⠪⠒⠒⠕,self,2,True
\Longleftarrow,027F8,⟸,⠫⠪⠶⠶⠶,umbs,1,True
\Longrightarrow,027F9,⟹,⠫⠶⠶⠶⠕,umbs,1,True
\Longleftrightarrow,027FA,⟺,⠫⠪⠶⠶⠶⠕,umbs,1,True
\longmapsfrom,027FB,⟻,⠫⠪⠒⠒⠒⠳,umbs,1,True
\longmapsto,027FC,⟼,⠫⠳⠒⠒⠒⠕,umbs,1,True
\Longmapsfrom,027FD,⟽,⠫⠪⠶⠶⠶⠳,umbs,1,True
\Longmapsto,027FE,⟾,⠫⠳⠶⠶⠶⠕,umbs,1,True
,027FF,⟿,⠫⠢⠤⠔⠒⠢⠤⠔⠒⠢⠕,umbs,1,True
,02921,⤡,⠫⠘⠪⠒⠒⠕,umbs,1,True
,02922,⤢,⠫⠰⠪⠒⠒⠕,umbs,1,True
,02945,⥅,⠐⠫⠒⠒⠕⠩⠬⠻,ctb,1,True
,02946,⥆,⠐⠫⠪⠒⠒⠩⠬⠻,ctb,1,True
,02948,⥈,⠫⠪⠒⠒⠕⠈⠨⠡⠻,ctb,1,True
,02971,⥱,⠐⠫⠒⠒⠕⠣⠨⠅⠻,ctb,1,True
,02972,⥲,⠐⠫⠒⠒⠕⠣⠈⠱⠻,ctb,1,True
,02973,⥳,⠐⠫⠪⠒⠒⠩⠈⠱⠻,ctb,1,True
,02974,⥴,⠐⠫⠒⠒⠕⠩⠈⠱⠻,ctb,1,True
,02975,⥵,⠐⠫⠒⠒⠕⠩⠈⠱⠈⠱⠻,ctb,1,True
,02976,⥶,⠐⠫⠪⠒⠒⠣⠐⠅⠻,ctb,1,True
,02977,⥷,⠫⠪⠒⠒⠈⠐⠅⠻,ctb,1,True
,02978,⥸,⠐⠫⠒⠒⠕⠣⠨⠂⠻,ctb,1,True
,02979,⥹,⠐⠫⠒⠒⠕⠣⠸⠐⠅⠻,ctb,1,True
,0297A,⥺,⠫⠪⠒⠒⠈⠸⠐⠅⠻,ctb,1,True
,0297B,⥻,⠐⠫⠪⠒⠒⠣⠸⠨⠂⠻,ctb,1,True
,02983,⦃,⠨⠸⠷,ctb,1,True
,02984,⦄,⠨⠸⠾,ctb,1,True
,02991,⦑,⠡⠈⠨⠨⠷⠻,umbs,1,True
,02992,⦒,⠡⠈⠨⠨⠾⠻,umbs,1,True
,0299F,⦟,⠫⠪⠨⠁⠻,ctb,1,True
,029A4,⦤,⠫⠪⠱,ctb,1,True
,029A6,⦦,⠫⠪⠨⠕⠻,ctb,1,True
\boxslash,029C4,⧄,⠫⠲⠸⠫⠔⠻,self,1,True
\boxbslash,029C5,⧅,⠫⠲⠸⠫⠢⠻,self,1,True
\boxast,029C6,⧆,⠫⠲⠸⠫⠈⠼⠻,umbs,1,True
,029CA,⧊,⠐⠫⠞⠣⠡⠻,umbs,1,True
,029CB,⧋,⠫⠞⠱,umbs,1,True
,029CC,⧌,⠫⠞⠎,umbs,1,True
,029E6,⧦,⠫⠳⠶⠶⠳,umbs,1,True
\bigodot,02A00,⨀,⠫⠉⠸⠫⠡⠻,ctb,2,True
\bigoplus,02A01,⨁,⠫⠉⠸⠫⠬⠻,ctb,2,True
\bigotimes,02A02,⨂,⠫⠉⠸⠫⠈⠡⠻,ctb,2,True
,02A03,⨃,⠨⠬⠈⠫⠡⠻,ctb,1,True
\biguplus,02A04,⨄,⠨⠬⠈⠫⠬⠻,ctb,1,True
,02A07,⨇,⠈⠩⠈⠈⠩⠻,ctb,1,True
,02A08,⨈,⠈⠬⠈⠈⠬⠻,ctb,1,True
\times,02A09,⨉,⠈⠡,self,2,True
,02A0A,⨊,⠨⠠⠎⠈⠫⠉⠻,ctb,1,True
,02A0B,⨋,⠮⠈⠨⠠⠎⠻,ctb,1,True
\iiiint,02A0C,⨌,⠮⠮⠮⠮,ctb,1,True
,02A0D,⨍,⠮⠈⠱⠻,ctb,1,True
,02A0E,⨎,⠮⠈⠱⠱⠻,ctb,1,True
\fint,02A0F,⨏,⠮⠈⠸⠌⠻,ctb,1,True
,02A10,⨐,⠮⠈⠠⠉⠻,ctb,1,True
,02A15,⨕,⠮⠈⠫⠉⠸⠫⠡⠻⠻,ctb,1,True
\sqint,02A16,⨖,⠮⠈⠫⠲⠻,ctb,1,True
,02A18,⨘,⠮⠈⠈⠡⠻,ctb,1,True
,02A19,⨙,⠮⠈⠨⠩⠻,ctb,1,True
,02A1A,⨚,⠮⠈⠨⠬⠻,ctb,1,True
,02A1B,⨛,⠣⠮,ctb,1,True
,02A1C,⨜,⠩⠮,ctb,1,True
,02A22,⨢,⠐⠬⠣⠨⠡⠻,umbs,1,True
,02A23,⨣,⠐⠬⠣⠸⠣⠻,umbs,1,True
,02A24,⨤,⠐⠬⠣⠈⠱⠻,umbs,1,True
,02A25,⨥,⠐⠬⠩⠡⠻,umbs,1,True
,02A2A,⨪,⠐⠱⠩⠡⠻,ctb,1,True
,02A30,⨰,⠐⠈⠡⠣⠡⠻,ctb,1,True
,02A31,⨱,⠐⠈⠡⠩⠱⠻,ctb,1,True
,02A36,⨶,⠐⠫⠉⠸⠫⠈⠡⠻⠣⠸⠣⠻,ctb,1,True
,02A37,⨷,⠫⠉⠸⠫⠫⠉⠸⠫⠈⠡⠻⠻,ctb,1,True
,02A38,⨸,⠫⠉⠸⠫⠨⠌⠻,ctb,1,True
,02A39,⨹,⠫⠞⠸⠫⠬⠻,ctb,1,True
,02A3A,⨺,⠫⠞⠸⠫⠤⠻,ctb,1,True
,02A3B,⨻,⠫⠞⠸⠫⠈⠡⠻,ctb,1,True
,02A40,⩀,⠨⠩⠈⠡⠻,ctb,1,True
,02A41,⩁,⠨⠬⠈⠤⠻,ctb,1,True
,02A42,⩂,⠐⠨⠬⠣⠱⠻,ctb,1,True
,02A43,⩃,⠐⠨⠩⠣⠱⠻,ctb,1,True
,02A44,⩄,⠨⠩⠈⠈⠩⠻,ctb,1,True
,02A45,⩅,⠨⠬⠈⠈⠬⠻,ctb,1,True
,02A46,⩆,⠨⠬⠨⠩,ctb,1,True
,02A47,⩇,⠨⠩⠨⠬,ctb,1,True
,02A48,⩈,⠨⠬⠱⠨⠩,ctb,1,True
,02A49,⩉,⠨⠩⠱⠨⠬,ctb,1,True
,02A4A,⩊,⠨⠬⠐⠨⠬,ctb,1,True
,02A4B,⩋,⠨⠩⠐⠨⠩,ctb,1,True
,02A51,⩑,⠐⠈⠩⠣⠡⠻,ctb,1,True
,02A52,⩒,⠐⠈⠬⠣⠡⠻,ctb,1,True
,02A53,⩓,⠈⠩⠈⠩,ctb,1,True
,02A54,⩔,⠈⠬⠈⠬,ctb,1,True
,02A55,⩕,⠈⠩⠈⠈⠩⠻,ctb,2,True
,02A56,⩖,⠈⠬⠈⠈⠬⠻,ctb,2,True
,02A59,⩙,⠈⠬⠈⠈⠩⠻,ctb,1,True
,02A5A,⩚,⠈⠩⠈⠳⠻,ctb,1,True
,02A5B,⩛,⠈⠬⠈⠳⠻,ctb,1,True
,02A5C,⩜,⠈⠩⠈⠱⠻,ctb,1,True
,02A5D,⩝,⠈⠬⠈⠱⠻,ctb,1,True
\doublebarwedge,02A5E,⩞,⠐⠈⠩⠣⠱⠱⠻,ctb,1,True
,02A5F,⩟,⠐⠈⠩⠩⠱⠻,ctb,1,True
,02A60,⩠,⠐⠈⠩⠩⠱⠱⠻,ctb,1,True
,02A62,⩢,⠐⠈⠬⠣⠱⠱⠻,ctb,1,True
,02A63,⩣,⠐⠈⠬⠩⠱⠱⠻,ctb,1,True
,02A66,⩦,⠐⠨⠅⠩⠡⠻,ctb,1,True
,02A67,⩧,⠐⠸⠇⠣⠡⠻,ctb,1,True
,02A68,⩨,⠳⠳⠈⠸⠇⠻,ctb,1,True
,02A69,⩩,⠳⠳⠳⠈⠸⠇⠻,ctb,1,True
,02A6A,⩪,⠐⠈⠱⠣⠡⠻,ctb,1,True
,02A6B,⩫,⠐⠈⠱⠩⠡⠣⠡⠻,ctb,1,True
,02A6C,⩬,⠈⠱⠱⠈⠱,ctb,1,True
,02A6D,⩭,⠐⠈⠱⠨⠅⠣⠡⠻,ctb,1,True
,02A6E,⩮,⠐⠨⠅⠣⠈⠼⠻,ctb,2,True
,02A6F,⩯,⠐⠈⠱⠈⠱⠣⠸⠣⠻,ctb,1,True
,02A70,⩰,⠈⠱⠈⠱⠨⠅,self,1,True
,02A71,⩱,⠐⠨⠅⠩⠬⠻,ctb,1,True
,02A72,⩲,⠐⠨⠅⠣⠬⠻,ctb,1,True
,02A73,⩳,⠨⠅⠈⠱,ctb,1,True
\Coloneqq,02A74,⩴,⠐⠂⠐⠂⠨⠅,umbs,1,True
\Equal,02A75,⩵,⠨⠅⠐⠨⠅,ctb,1,True
\Same,02A76,⩶,⠨⠅⠐⠨⠅⠐⠨⠅,ctb,1,True
,02A77,⩷,⠐⠨⠅⠩⠡⠡⠣⠡⠡⠻,ctb,1,True
,02A78,⩸,⠐⠸⠇⠣⠡⠡⠡⠡⠻,ctb,1,True
,02A79,⩹,⠐⠅⠈⠨⠡⠻,ctb,1,True
,02A7A,⩺,⠨⠂⠈⠨⠡⠻,ctb,1,True
,02A7B,⩻,⠐⠐⠅⠣⠸⠦⠻,ctb,1,True
,02A7C,⩼,⠐⠨⠂⠣⠸⠦⠻,ctb,1,True
\leqslant,02A7D,⩽,⠐⠅⠱⠱,ctb,1,True
\geqslant,02A7E,⩾,⠨⠂⠱⠱,ctb,1,True
,02A7F,⩿,⠐⠅⠱⠱⠈⠡⠻,ctb,1,True
,02A80,⪀,⠨⠂⠱⠱⠈⠡⠻,ctb,1,True
,02A81,⪁,⠐⠐⠅⠱⠱⠣⠡⠻,ctb,1,True
,02A82,⪂,⠐⠨⠂⠱⠱⠣⠡⠻,ctb,1,True
,02A83,⪃,⠐⠅⠱⠱⠘⠡,ctb,1,True
,02A84,⪄,⠨⠂⠱⠱⠘⠡,ctb,1,True
\lessapprox,02A85,⪅,⠐⠅⠈⠱⠈⠱,ctb,1,True
\gtrapprox,02A86,⪆,⠨⠂⠈⠱⠈⠱,ctb,1,True
\lesseqqgtr,02A8B,⪋,⠐⠅⠨⠅⠨⠂,umbs,1,True
\gtreqqless,02A8C,⪌,⠨⠂⠨⠅⠐⠅,umbs,1,True
,02A8D,⪍,⠐⠅⠈⠱⠱,ctb,1,True
,02A8E,⪎,⠨⠂⠈⠱⠱,ctb,1,True
,02A8F,⪏,⠐⠅⠈⠱⠨⠂,ctb,1,True
,02A90,⪐,⠨⠂⠈⠱⠐⠅,ctb,1,True
,02A91,⪑,⠐⠅⠨⠂⠨⠅,ctb,1,True
,02A92,⪒,⠨⠂⠐⠅⠨⠅,ctb,1,True
,02A99,⪙,⠨⠅⠐⠅,umbs,1,True
,02A9A,⪚,⠨⠅⠨⠂,umbs,1,True
,02A9D,⪝,⠈⠱⠐⠅,ctb,1,True
,02A9E,⪞,⠈⠱⠨⠂,ctb,1,True
,02A9F,⪟,⠈⠱⠐⠅⠨⠅,umbs,1,True
,02AA0,⪠,⠈⠱⠨⠂⠨⠅,umbs,1,True
,02AA4,⪤,⠨⠂⠈⠐⠅⠻,ctb,1,True
,02AA5,⪥,⠨⠂⠐⠐⠅,ctb,1,True
,02AAE,⪮,⠈⠣⠨⠅,umbs,1,True
\preceq,02AAF,⪯,⠨⠐⠅⠱,umbs,1,True
\succeq,02AB0,⪰,⠨⠨⠂⠱,umbs,1,True
,02AB1,⪱,⠨⠐⠅⠌⠱,umbs,1,True
,02AB2,⪲,⠨⠨⠂⠌⠱,umbs,1,True
\preceqq,02AB3,⪳,⠨⠐⠅⠨⠅,umbs,1,True
\succeqq,02AB4,⪴,⠨⠨⠂⠨⠅,umbs,1,True
,02AB5,⪵,⠨⠐⠅⠌⠨⠅,umbs,1,True
,02AB6,⪶,⠨⠨⠂⠌⠨⠅,umbs,1,True
\precapprox,02AB7,⪷,⠨⠐⠅⠈⠱⠈⠱,umbs,1,True
\succapprox,02AB8,⪸,⠨⠨⠂⠈⠱⠈⠱,umbs,1,True
\precnapprox,02AB9,⪹,⠨⠐⠅⠌⠈⠱⠈⠱,umbs,1,True
\succnapprox,02ABA,⪺,⠨⠨⠂⠌⠈⠱⠈⠱,umbs,1,True
\llcurly,02ABB,⪻,⠨⠐⠅⠈⠨⠐⠅⠻,umbs,1,True
\ggcurly,02ABC,⪼,⠨⠨⠂⠈⠨⠨⠂⠻,umbs,1,True
,02ABD,⪽,⠸⠐⠅⠸⠫⠡⠻,ctb,1,True
,02ABE,⪾,⠸⠨⠂⠸⠫⠡⠻,ctb,1,True
,02ABF,⪿,⠐⠸⠐⠅⠩⠬⠻,ctb,1,True
,02AC0,⫀,⠐⠸⠨⠂⠩⠬⠻,ctb,1,True
,02AC1,⫁,⠐⠸⠐⠅⠩⠈⠡⠻,ctb,1,True
,02AC2,⫂,⠐⠸⠨⠂⠩⠈⠡⠻,ctb,1,True
,02AC3,⫃,⠐⠸⠐⠅⠱⠣⠡⠻,ctb,1,True
,02AC4,⫄,⠐⠸⠨⠂⠱⠣⠡⠻,ctb,1,True
\subseteqq,02AC5,⫅,⠸⠐⠅⠨⠅,ctb,1,True
\supseteqq,02AC6,⫆,⠸⠨⠂⠨⠅,ctb,1,True
,02AC7,⫇,⠸⠐⠅⠈⠱,ctb,1,True
,02AC8,⫈,⠸⠨⠂⠈⠱,ctb,1,True
,02AC9,⫉,⠸⠐⠅⠈⠱⠈⠱,ctb,1,True
,02ACA,⫊,⠸⠨⠂⠈⠱⠈⠱,ctb,1,True
\subsetneqq,02ACB,⫋,⠸⠐⠅⠌⠨⠅,ctb,2,True
\supsetneqq,02ACC,⫌,⠸⠨⠂⠌⠨⠅,ctb,2,True
,02ACF,⫏,⠸⠐⠅⠳,ctb,1,True
,02AD0,⫐,⠳⠸⠨⠂,ctb,1,True
,02AD3,⫓,⠸⠐⠅⠸⠨⠂,ctb,1,True
,02AD4,⫔,⠸⠨⠂⠸⠐⠅,ctb,1,True
,02AD5,⫕,⠸⠐⠅⠸⠐⠅,ctb,1,True
,02AD6,⫖,⠸⠨⠂⠸⠨⠂,ctb,1,True
,02AD7,⫗,⠸⠨⠂⠐⠸⠐⠅,ctb,1,True
,02ADC,⫝̸,⠌⠫⠩⠒⠒⠳⠽,ctb,1,True
,02ADD,⫝,⠫⠩⠒⠒⠳⠽,ctb,1,True
,02ADE,⫞,⠫⠒⠳,ctb,1,True
,02AE3,⫣,⠫⠒⠳⠳,ctb,1,True
,02AE4,⫤,⠫⠶⠳,ctb,1,True
,02AE5,⫥,⠫⠶⠳⠳,ctb,1,True
,02AE6,⫦,⠫⠳⠒⠐⠫⠳⠒,ctb,1,True
,02AE7,⫧,⠐⠨⠅⠩⠳⠻,ctb,1,True
,02AE8,⫨,⠐⠨⠅⠣⠳⠻,ctb,1,True
,02AE9,⫩,⠐⠨⠅⠩⠳⠣⠳⠻,ctb,1,True
\Top,02AEA,⫪,⠫⠣⠶⠶⠳,ctb,1,True
,02AEF,⫯,⠐⠳⠣⠨⠡⠻,ctb,1,True
,02AF0,⫰,⠐⠳⠩⠨⠡⠻,ctb,1,True
,02AF1,⫱,⠐⠨⠡⠣⠫⠣⠒⠒⠳⠻,ctb,1,True
,02AF2,⫲,⠱⠈⠫⠇⠻,ctb,1,True
,02AF3,⫳,⠈⠱⠈⠫⠇⠻,ctb,1,True
\interleave,02AF4,⫴,⠳⠳⠳,ctb,1,True
,02AF5,⫵,⠱⠈⠳⠳⠳⠻,ctb,1,True
\biginterleave,02AFC,⫼,⠳⠳⠳,ctb,2,True
,02B1F,⬟,⠫⠸⠢,umbs,1,True
,02B20,⬠,⠫⠢,umbs,1,True
,02B21,⬡,⠫⠖,umbs,1,True
,02B22,⬢,⠫⠸⠖,umbs,1,True
,02B2C,⬬,⠫⠸⠑,umbs,1,True
,02B2D,⬭,⠫⠑,umbs,1,True
,02B30,⬰,⠨⠡⠈⠫⠪⠒⠒⠻,umbs,1,True
,02B31,⬱,⠫⠪⠒⠒⠫⠪⠒⠒⠫⠪⠒⠒,umbs,1,True
,02B32,⬲,⠫⠪⠒⠒⠈⠫⠉⠸⠫⠬⠻,umbs,1,True
,02B3E,⬾,⠫⠪⠒⠒⠈⠈⠡⠻,ctb,1,True
,02B40,⭀,⠐⠫⠪⠒⠒⠣⠨⠅⠻,ctb,1,True
,02B43,⭃,⠫⠒⠒⠕⠈⠨⠂⠻,ctb,1,True
,02B44,⭄,⠫⠒⠒⠕⠈⠸⠨⠂⠻,ctb,1,True
,02B49,⭉,⠐⠫⠪⠒⠒⠣⠈⠱⠻,ctb,1,True
,02B4A,⭊,⠐⠫⠪⠒⠒⠩⠈⠱⠈⠱⠻,ctb,1,True
\updownarrow,02B65,⭥,⠫⠣⠪⠒⠒⠕,self,2,True
,02BC3,⯃,⠫⠸⠦,umbs,1,True
,02E2C,⸬,⠰⠆,self,2,True
,03010,【,⠸⠈⠷,self,1,True
,03011,】,⠸⠈⠾,self,1,True
,07121,無,⠸,self,2,True
,0FE62,﹢,⠬,ctb,3,True
,0FE64,﹤,⠣,ctb,1,True
,0FE65,﹥,⠜,ctb,1,True
,0FE66,﹦,⠿,ctb,1,True
,0FF05,％,⠈⠴,self,2,True
,0FF0B,＋,⠬,self,2,True
,0FF0D,－,⠤,self,2,True
,0FF0E,．,⠡,self,4,True
,0FF1C,＜,⠐⠅,self,2,True
,0FF1D,＝,⠨⠅,self,3,True
,0FF1E,＞,⠀⠨⠂⠀,self2,2,False
,00020, ,,,0,True
,00060,`,,,0,True
,000A0, ,,,0,True
,000A1,¡,,,0,True
,000A4,¤,,,0,True
\yen,000A5,¥,,,0,True
,000A6,¦,,,0,True
\spddot,000A8,¨,,,0,True
\neg,000AC,¬,,,0,True
,000AF,¯,,,0,True
,000B4,´,,,0,True
\Micro,000B5,µ,,,0,True
,000BF,¿,,,0,True
\eth,000F0,ð,,,0,True
\imath,00131,ı,,,0,True
,001B5,Ƶ,,,0,True
\jmath,00237,ȷ,,,0,True
,002C6,ˆ,,,0,True
,002C7,ˇ,,,0,True
,002D8,˘,,,0,True
,002D9,˙,,,0,True
,002DA,˚,,,0,True
,002DC,˜,,,0,True
\grave,00300,̀,,,0,True
\acute,00301,́,,,0,True
\hat,00302,̂,,,0,True
\tilde,00303,̃,,,0,True
\bar,00304,̄,,,0,True
\overline,00305,̅,,,0,True
\breve,00306,̆,,,0,True
\dot,00307,̇,,,0,True
\ddot,00308,̈,,,0,True
,00309,̉,,,0,True
\mathring,0030A,̊,,,0,True
\check,0030C,̌,,,0,True
,00310,̐,,,0,True
,00311,̑,,,0,True
,00312,̒,,,0,True
,00315,̕,,,0,True
,0031A,̚,,,0,True
,00323,̣,,,0,True
,0032C,̬,,,0,True
,0032D,̭,,,0,True
,0032E,̮,,,0,True
,0032F,̯,,,0,True
\utilde,00330,̰,,,0,True
\underbar,00331,̱,,,0,True
\underline,00332,̲,,,0,True
,00333,̳,,,0,True
\not,00338,̸,,,0,True
,0033A,̺,,,0,True
,0033F,̿,,,0,True
,00346,͆,,,0,True
\varbeta,003D0,ϐ,,,0,True
,003D2,ϒ,,,0,True
\Qoppa,003D8,Ϙ,,,0,True
\qoppa,003D9,ϙ,,,0,True
\Stigma,003DA,Ϛ,,,0,True
\stigma,003DB,ϛ,,,0,True
\Digamma,003DC,Ϝ,,,0,True
\digamma,003DD,ϝ,,,0,True
\Koppa,003DE,Ϟ,,,0,True
\koppa,003DF,ϟ,,,0,True
\Sampi,003E0,Ϡ,,,0,True
\sampi,003E1,ϡ,,,0,True
\varrho,003F1,ϱ,,,0,True
,003F4,ϴ,,,0,True
\backepsilon,003F6,϶,,,0,True
,00428,Ш,,,0,True
,00606,؆,,,0,True
,00607,؇,,,0,True
,00608,؈,,,0,True
,02000, ,,,0,True
\quad,02001, ,,,0,True
,02002, ,,,0,True
,02003, ,,,0,True
,02004, ,,,0,True
,02005, ,,,0,True
,02006, ,,,0,True
,02007, ,,,0,True
,02009, ,,,0,True
,0200A, ,,,0,True
,0200B,​,,,0,True
,02010,‐,,,0,True
,02012,‒,,,0,True
,02017,‗,,,0,True
,02025,‥,,,0,True
\third,02034,‴,,,0,True
\backprime,02035,‵,,,0,True
,02036,‶,,,0,True
,02037,‷,,,0,True
,02038,‸,,,0,True
,0203B,※,,,0,True
,0203C,‼,,,0,True
\cat,02040,⁀,,,0,True
,02043,⁃,,,0,True
,02047,⁇,,,0,True
,0204E,⁎,,,0,True
,0204F,⁏,,,0,True
,02050,⁐,,,0,True
,02051,⁑,,,0,True
\fourth,02057,⁗,,,0,True
\:,0205F, ,,,0,True
,02061,⁡,,,0,True
,02062,⁢,,,0,True
,02063,⁣,,,0,True
,02064,⁤,,,0,True
,0207A,⁺,,,0,True
,0207B,⁻,,,0,True
,0207C,⁼,,,0,True
,0207D,⁽,,,0,True
,0207E,⁾,,,0,True
,0208A,₊,,,0,True
,0208B,₋,,,0,True
,0208C,₌,,,0,True
,0208D,₍,,,0,True
,0208E,₎,,,0,True
,020AC,€,,,0,True
\lvec,020D0,⃐,,,0,True
\vec,020D1,⃑,,,0,True
,020D2,⃒,,,0,True
,020D3,⃓,,,0,True
,020D4,⃔,,,0,True
,020D5,⃕,,,0,True
\LVec,020D6,⃖,,,0,True
\vec,020D7,⃗,,,0,True
,020D8,⃘,,,0,True
,020D9,⃙,,,0,True
,020DA,⃚,,,0,True
\dddot,020DB,⃛,,,0,True
\ddddot,020DC,⃜,,,0,True
,020DD,⃝,,,0,True
,020DE,⃞,,,0,True
,020DF,⃟,,,0,True
\overleftrightarrow,020E1,⃡,,,0,True
,020E4,⃤,,,0,True
,020E5,⃥,,,0,True
,020E6,⃦,,,0,True
,020E7,⃧,,,0,True
,020E8,⃨,,,0,True
,020E9,⃩,,,0,True
,020EA,⃪,,,0,True
,020EB,⃫,,,0,True
,020EC,⃬,,,0,True
,020ED,⃭,,,0,True
\underleftarrow,020EE,⃮,,,0,True
\underrightarrow,020EF,⃯,,,0,True
,020F0,⃰,,,0,True
\mathbb{C},02102,ℂ,,,0,True
\Euler,02107,ℇ,,,0,True
\mathcal{g},0210A,ℊ,,,0,True
\mathcal{H},0210B,ℋ,,,0,True
\mathfrak{H},0210C,ℌ,,,0,True
\mathbb{H},0210D,ℍ,,,0,True
,0210E,ℎ,,,0,True
\mathcal{I},02110,ℐ,,,0,True
\mathcal{L},02112,ℒ,,,0,True
\mathbb{N},02115,ℕ,,,0,True
\wp,02118,℘,,,0,True
\mathbb{P},02119,ℙ,,,0,True
\mathbb{Q},0211A,ℚ,,,0,True
\mathcal{R},0211B,ℛ,,,0,True
\mathbb{R},0211D,ℝ,,,0,True
\mathbb{Z},02124,ℤ,,,0,True
\tcohm,02126,Ω,,,0,True
\mho,02127,℧,,,0,True
\mathfrak{Z},02128,ℨ,,,0,True
,02129,℩,,,0,True
\mathcal{B},0212C,ℬ,,,0,True
\mathfrak{C},0212D,ℭ,,,0,True
\mathcal{e},0212F,ℯ,,,0,True
\mathcal{E},02130,ℰ,,,0,True
\mathcal{F},02131,ℱ,,,0,True
\Finv,02132,Ⅎ,,,0,True
\mathcal{M},02133,ℳ,,,0,True
\mathcal{o},02134,ℴ,,,0,True
\aleph,02135,ℵ,,,0,True
\beth,02136,ℶ,,,0,True
\gimel,02137,ℷ,,,0,True
\daleth,02138,ℸ,,,0,True
\mathbb{\pi},0213C,ℼ,,,0,True
\mathbb{\gamma},0213D,ℽ,,,0,True
\mathbb{\Gamma},0213E,ℾ,,,0,True
\mathbb{\Pi},0213F,ℿ,,,0,True
\mathbb{\Sigma},02140,⅀,,,0,True
,02141,⅁,,,0,True
,02142,⅂,,,0,True
,02143,⅃,,,0,True
\Yup,02144,⅄,,,0,True
\CapitalDifferentialD,02145,ⅅ,,,0,True
\DifferentialD,02146,ⅆ,,,0,True
\ExponetialE,02147,ⅇ,,,0,True
\ComplexI,02148,ⅈ,,,0,True
\ComplexJ,02149,ⅉ,,,0,True
,0214A,⅊,,,0,True
\invamp,0214B,⅋,,,0,True
\looparrowleft,021AB,↫,,,0,True
\looparrowright,021AC,↬,,,0,True
\Lsh,021B0,↰,,,0,True
\Rsh,021B1,↱,,,0,True
\dlsh,021B2,↲,,,0,True
\drsh,021B3,↳,,,0,True
\curvearrowleft,021B6,↶,,,0,True
\curvearrowright,021B7,↷,,,0,True
,021B8,↸,,,0,True
,021B9,↹,,,0,True
,021E6,⇦,,,0,True
,021E7,⇧,,,0,True
,021E8,⇨,,,0,True
,021E9,⇩,,,0,True
,021EA,⇪,,,0,True
,021EB,⇫,,,0,True
,021EC,⇬,,,0,True
,021ED,⇭,,,0,True
,021EE,⇮,,,0,True
,021EF,⇯,,,0,True
,021F0,⇰,,,0,True
,021F1,⇱,,,0,True
,021F2,⇲,,,0,True
,021F3,⇳,,,0,True
\leftarrowtriangle,021FD,⇽,,,0,True
\rightarrowtriangle,021FE,⇾,,,0,True
\leftrightarrowtriangle,021FF,⇿,,,0,True
\complement,02201,∁,,,0,True
,02206,∆,,,0,True
,0220A,∊,,,0,True
,0220D,∍,,,0,True
\coprod,02210,∐,,,0,True
\smallsetminus,02216,∖,,,0,True
,02231,∱,,,0,True
,0223E,∾,,,0,True
\AC,0223F,∿,,,0,True
\wr,02240,≀,,,0,True
\between,0226C,≬,,,0,True
\preccurlyeq,0227C,≼,,,0,True
\succcurlyeq,0227D,≽,,,0,True
\nprec,02280,⊀,,,0,True
\nsucc,02281,⊁,,,0,True
\sqsubset,0228F,⊏,,,0,True
\sqsupset,02290,⊐,,,0,True
\sqsubseteq,02291,⊑,,,0,True
\sqsupseteq,02292,⊒,,,0,True
\sqcap,02293,⊓,,,0,True
