latex,code,symbol,nemeth,source,priority,ingore-braille-space
,02160,Ⅰ,⠠⠊,self,2,True
,02161,Ⅱ,⠠⠠⠊⠊,self,1,True
,02162,Ⅲ,⠠⠠⠊⠊⠊,self,1,True
,02163,Ⅳ,⠠⠠⠊⠧,self,1,True
,02164,Ⅴ,⠠⠧,self,2,True
,02165,Ⅵ,⠠⠠⠧⠊,self,1,True
,02166,Ⅶ,⠠⠠⠧⠊⠊,self,1,True
,02167,Ⅷ,⠠⠠⠧⠊⠊⠊,self,1,True
,02168,Ⅸ,⠠⠠⠊⠭,self,1,True
,02169,Ⅹ,⠠⠭,self,2,True
\leftarrow,02190,←,⠫⠪⠒⠒,self,1,True
\uparrow,02191,↑,⠫⠣⠒⠒⠕,self,1,True
\rightarrow,02192,→,⠫⠒⠒⠕,self,1,True
\downarrow,02193,↓,⠫⠩⠒⠒⠕,self,1,True
\leftrightarrow,02194,↔,⠫⠪⠒⠒⠕,umbs,1,True
\updownarrow,02195,↕,⠫⠣⠪⠒⠒⠕,umbs,1,True
\nwarrow,02196,↖,⠫⠘⠪⠒⠒,umbs,1,True
\nearrow,02197,↗,⠫⠘⠒⠒⠕,umbs,1,True
\searrow,02198,↘,⠫⠰⠒⠒⠕,umbs,1,True
\swarrow,02199,↙,⠫⠰⠪⠒⠒,umbs,1,True
\nleftarrow,0219A,↚,⠳⠈⠫⠪⠒⠒⠻,umbs,1,True
\nrightarrow,0219B,↛,⠳⠈⠫⠒⠒⠕⠻,umbs,1,True
,0219C,↜,⠫⠪⠔⠒⠢,umbs,1,True
,0219D,↝,⠫⠔⠒⠢⠕,umbs,1,True
\twoheadleftarrow,0219E,↞,⠫⠪⠪⠒⠒,umbs,1,True
,0219F,↟,⠫⠣⠒⠒⠕⠕,umbs,1,True
\twoheadrightarrow,021A0,↠,⠫⠒⠒⠕⠕,umbs,1,True
,021A1,↡,⠫⠩⠒⠒⠕⠕,umbs,1,True
\leftarrowtail,021A2,↢,⠫⠪⠒⠒⠠⠽,umbs,1,True
\rightarrowtail,021A3,↣,⠫⠠⠯⠒⠒⠕,umbs,1,True
\mapsfrom,021A4,↤,⠫⠪⠒⠒⠳,umbs,1,True
\MapsUp,021A5,↥,⠫⠣⠳⠒⠒⠕,umbs,1,True
\mapsto,021A6,↦,⠫⠳⠒⠒⠕,umbs,1,True
